HOSTNAME,VENDOR,MODEL,IPS,SERIALS,STATUS,SITE_CODE,DIVISION,LOCATION,FW_TYPE
aws-use2nonprod-ingress-01,Paloalto,pa-vm,10.207.228.130,7955000721036,Offline,us-east-1,,AWS > us-east-1,CLOUD|PERIMETER
aws-use2nonprod-ingress-03,Paloalto,pa-vm,10.207.229.229,7955000721085,Offline,us-east-1,,AWS > us-east-1,CLOUD|PERIMETER
azhub000-vmss-9,Cisco,Azure,10.155.44.11,9A2EL384M83,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
azhub003-vmss-8,Cisco,Azure,10.155.172.9,9ARP3CMBULL,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
azhub012-ingress-usc-vmss-5,Cisco,Azure,10.229.134.72,9AE1ECBKM5S,Offline,Central US,,Azure > Central US,CLOUD|PERIMETER
azhub012-ingress-usc-vmss-6,Cisco,Azure,10.229.134.74,9A3SV8TBPP8,Offline,Central US,,Azure > Central US,CLOUD|PERIMETER
azhub013-egress-usc-vmss-0,Cisco,Azure,10.229.134.196,9A8HC6SNK8C,Offline,Central US,,Azure > Central US,CLOUD|PERIMETER
azhub013-egress-usc-vmss-1,Cisco,Azure,10.229.134.198,9AW6EHTU7V2,Offline,Central US,,Azure > Central US,CLOUD|PERIMETER
azhub013-egress-usc-vmss-2,Cisco,Azure,10.229.134.200,9A40KH5S6DP,Offline,Central US,,Azure > Central US,CLOUD|PERIMETER
azhub013-egress-usc-vmss-3,Cisco,Azure,10.229.134.202,9ACEQ0DBJ42,Offline,Central US,,Azure > Central US,CLOUD|PERIMETER
azhub014-ingress-use2-vmss-10,Cisco,Azure,10.229.6.74,9AJLFVRHPNA,Offline,East US 2,,Azure > East US 2,CLOUD|PERIMETER
azhub014-ingress-use2-vmss-8,Cisco,Azure,10.229.6.70,9ABD9WX9EUM,Offline,East US 2,,Azure > East US 2,CLOUD|PERIMETER
azhub014-ingress-use2-vmss-9,Cisco,Azure,10.229.6.72,9AR6RXJBPD0,Offline,East US 2,,Azure > East US 2,CLOUD|PERIMETER
azhub015-egress-use2-vmss-0,Cisco,Azure,10.229.6.196,9AGUSSUTLXA,Offline,East US 2,,Azure > East US 2,CLOUD|PERIMETER
azhub015-egress-use2-vmss-2,Cisco,Azure,10.229.6.200,9A78JVR6V7V,Offline,East US 2,,Azure > East US 2,CLOUD|PERIMETER
azhub015-egress-use2-vmss-3,Cisco,Azure,10.229.6.202,9AKB6VE76EF,Offline,East US 2,,Azure > East US 2,CLOUD|PERIMETER
bat-mx-vdc-2,Cisco,MX84,192.168.1.15,Q2PN-5B8D-GHT5,Offline,BAT,PCW,US > OH > Barberton > 03320 - 03320B04,
bel-mx-l1-1,Cisco,MX84,104.139.41.221,Q2PN-4G6L-SYP7,Offline,BEL,Aetna,US > NC > Belmont > NC3501 - NC3501B01,
bff-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.75.34.30,FTX2235W0F2,Offline,BFF,PSS,US > IL > Buffalo Grove > 97748 - 97748B01,INTERNAL|PCI
bff-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.75.34.31,FTX2235W0BN,Offline,BFF,PSS,US > IL > Buffalo Grove > 97748 - 97748B01,INTERNAL|PCI
brh-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.39.8.34,FTX2237W093,Offline,BRH,PSS,US > AL > Birmingham > 02909 - 02909B02,INTERNAL|PCI
brh-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.39.8.35,FTX2237W05X,Offline,BRH,PSS,US > AL > Birmingham > 02909 - 02909B02,INTERNAL|PCI
britishtelecom/britishtelecom,Cisco,5585-SSP-60,10.218.232.45,JMX1748804Y/britishtelecom,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,
btc-mx-vdc-1,Cisco,MX84,192.168.1.150,Q2PN-D975-47PX,Offline,BTC,PCW,US > MA > Braintree > 00686 - 00686B02,
cae-fw-emrqacloud-a,Checkpoint,Other,,10.208.194.211,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-emrqacloud-b,Checkpoint,Other,,10.208.194.212,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-prodsvc-pa-a:1,Paloalto,pa-vm,10.208.80.21,'	007955000709600,Offline,East US,HCB,Azure > East US,CLOUD|PERIMETER
cae-fw-prodsvc-pa-a:2,Paloalto,pa-vm,10.208.80.21,7955000709600,Offline,East US,HCB,Azure > East US,CLOUD|PERIMETER
cae-fw-prodsvc-pa-b:1,Paloalto,pa-vm,10.208.80.22,'	007955000709601,Offline,East US,HCB,Azure > East US,CLOUD|PERIMETER
cae-fw-prodsvc-pa-b:2,Paloalto,pa-vm,10.208.80.22,7955000709601,Offline,East US,HCB,Azure > East US,CLOUD|PERIMETER
cae-fw-prodsvc1a-a,Checkpoint,Other,,10.208.83.11,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-prodsvc1a-b,Checkpoint,Other,,10.208.83.12,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc-pa-a:1,Paloalto,pa-vm,10.208.213.110,7955000659140,Offline,East US,HCB,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc-pa-b:1,Paloalto,pa-vm,10.208.213.76,7955000656863,Offline,East US,HCB,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc1c-a,Checkpoint,Other,,10.208.211.11,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc1c-b,Checkpoint,Other,,10.208.211.12,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc1e-a,Checkpoint,Other,,10.208.211.71,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc1e-b,Checkpoint,Other,,10.208.211.72,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc1g-a,Checkpoint,Open server,,10.208.211.155,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc1g-b,Checkpoint,Open server,,10.208.211.159,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc2z-a,Checkpoint,Open server,,10.208.211.34,,East US,,Azure > East US,CLOUD|PERIMETER
cae-fw-qasvc2z-b,Checkpoint,Open server,,10.208.211.56,,East US,,Azure > East US,CLOUD|PERIMETER
CBL-SEC-DCLab-01,Cisco,2130,10.51.170.139,JAD262407W4,Offline,CBL,CVS,US > RI > Cumberland > 99972 - 99972B01,LAB
CBN-SEC-T1B-APS-01/pri/stby,Cisco,5555,10.26.193.6,FTX2333W0AA,Offline,CBN,CVS,US > RI > Cumberland > 99976 - 99976B01,INTERNAL
CBN-SEC-T1B-APS-01/sec/act,Cisco,5555,10.26.193.5,FTX2333W0AC,Offline,CBN,CVS,US > RI > Cumberland > 99976 - 99976B01,INTERNAL
cli-sec-m1a-sema-01-a,Cisco,ASA5555-K9,10.38.216.34,FTX2237W05N,Offline,CLI,PSS,US > SC > Columbia > 02923 - 02923B03,INTERNAL|PCI
cli-sec-m1a-sema-01-s,Cisco,ASA5555-K9,10.38.216.35,FTX2237W08X,Offline,CLI,PSS,US > SC > Columbia > 02923 - 02923B03,INTERNAL|PCI
cmc-fw-hubprodglr-1/vsys1,Paloalto,pa-vm,10.159.3.4,'	007957000676160,Online,Central US,HCB,Azure > Central US,CLOUD|PERIMETER
cmc-fw-hubprodglr-2/vsys1,Paloalto,pa-vm,10.159.3.5,'	007957000676170,Online,Central US,HCB,Azure > Central US,CLOUD|PERIMETER
cmc-fw-hubprodglr-a,Checkpoint,Other,,10.159.5.5,,Central US,,Azure > Central US,CLOUD|PERIMETER
cmc-fw-hubprodglr-b,Checkpoint,Other,,10.159.5.6,,Central US,,Azure > Central US,CLOUD|PERIMETER
cme-fw-hubnonprod-a,Checkpoint,Other,,10.159.69.5,,East US,,Azure > East US,CLOUD|PERIMETER
cme-fw-hubnonprod-b,Checkpoint,Other,,10.159.69.6,,East US,,Azure > East US,CLOUD|PERIMETER
cme-fw-hubprodglr-1/vsys1,Paloalto,pa-vm,10.159.101.100,'	007957000610949,Online,East US,HCB,Azure > East US,CLOUD|PERIMETER
cme-fw-hubprodglr-2/vsys1,Paloalto,pa-vm,10.159.101.101,'	007957000612041,Online,East US,HCB,Azure > East US,CLOUD|PERIMETER
cme-fw-hubprodglr-3/vsys1,Paloalto,pa-vm,10.159.101.102,'	007957000643652,Online,East US,,Azure > East US,CLOUD|PERIMETER
cme-fw-hubprodglr-4/vsys1,Paloalto,pa-vm,10.159.101.103,'	007957000643653,Online,East US,HCB,Azure > East US,CLOUD|PERIMETER
cme-fw-hubprodglr-a,Checkpoint,Other,,10.159.101.5,,East US,,Azure > East US,CLOUD|PERIMETER
cme-fw-hubprodglr-b,Checkpoint,Other,,10.159.101.6,,East US,,Azure > East US,CLOUD|PERIMETER
cme-fw-nonprodglr-1/vsys1,Paloalto,pa-vm,10.159.69.101,'	007957000521754,Online,East US,HCB,Azure > East US,CLOUD|PERIMETER
cme-fw-nonprodglr-2/vsys1,Paloalto,pa-vm,10.159.69.102,'	007957000655240,Online,East US,HCB,Azure > East US,CLOUD|PERIMETER
concentrix/concentrix,Cisco,5585-SSP-60,,JMX1748804Y/Concentrix|JMX1952806K/CONCENTRIX,,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,
conduent/conduent,Cisco,5585-SSP-60,10.218.232.70,JMX1748804X/conduent,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,
continuum/continuum,Cisco,5585-SSP-60,10.0.127.37,JMX1952806K/CONTINUUM,Offline,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,
convey/convey,Cisco,5585-SSP-60,,JMX1952806K/CONVEY,,CLD,PCW,US > RI > Cumberland > 99975 - 99975B01,
ConveyNations/ConveyNations,Cisco,5585-SSP-60,10.218.232.27,JMX1748804Y/ConveyNations,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,
CRA-SEC-M1A-SEMA-02,Cisco,2130,10.30.86.150,JAD262204QG,Offline,CRA,PSS,US > PR > Carolina > 08899 - 08899B05,INTERNAL|PCI
eda-sec-m1a-mat-01-fo,Cisco,ASA5555-K9,10.37.255.11,FTX2150W0KU,Offline,Unknown Import,PSS,Unknown Import,INTERNAL
egc-use4-ztna-nonprod-02,Cisco,FTD-GCP,10.143.67.99,9A3F2UN2RE5,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-use4-ztna-nonprod-03,Cisco,FTD-GCP,10.143.67.100,9ABBN2F5AJ1,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-use4-ztna-nonprod-04,Cisco,FTD-GCP,10.143.67.101,9AX5P6G1HJE,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-use4-ztna-nonprod-05,Cisco,FTD-GCP,10.143.67.102,9ARC0P9K1FA,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-use4-ztna-nonprod-06,Cisco,FTD-GCP,10.143.67.103,9AGNNT8PCQT,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-usw2-ztna-nonprod-01,Cisco,FTD-GCP,10.143.67.168,9AK07F0NP41,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-usw2-ztna-nonprod-02,Cisco,FTD-GCP,10.143.67.169,9A0FJE7PG1X,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-usw2-ztna-nonprod-03,Cisco,FTD-GCP,10.143.67.170,9AT89BQ8RKB,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-usw2-ztna-nonprod-04,Cisco,FTD-GCP,10.143.67.171,9AA5L7C6QHU,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-usw2-ztna-nonprod-05,Cisco,FTD-GCP,10.143.67.172,9AJDA11PTHC,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egc-usw2-ztna-nonprod-06,Cisco,FTD-GCP,10.143.67.167,9A5Q1PP2SJ3,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4nonprd-ingress-2-0-vm-01,Paloalto,pa-vm,10.243.0.34,7958000708758,Offline,us-east4,,GCP > us-east4,CLOUD|PERIMETER
egcuse4nonprd-ingress-2-0-vm-03,Paloalto,pa-vm,10.243.0.36,7958000708755,Offline,us-east4,,GCP > us-east4,CLOUD|PERIMETER
egcuse4nonprd-ingress-2-0-vm-04,Paloalto,pa-vm,10.243.0.37,7958000708756,Offline,us-east4,,GCP > us-east4,CLOUD|PERIMETER
egcuse4nonprd2-0-vm-01,Paloalto,pa-vm,10.243.1.185,7900000667352,Offline,us-east4,,GCP > us-east4,CLOUD|PERIMETER
egcuse4nonprd2-0-vm-03,Paloalto,pa-vm,10.243.1.187,7900000667349,Offline,us-east4,,GCP > us-east4,CLOUD|PERIMETER
egcuse4nonprd2-0-vm-04,Paloalto,pa-vm,10.243.1.182,7900000667350,Offline,us-east4,,GCP > us-east4,CLOUD|PERIMETER
egcuse4palopoc-01-vm,Paloalto,pa-vm,10.143.50.23,7958000645944,Offline,us-east4,,GCP > us-east4,CLOUD|PERIMETER|POC
egcuse4palopoc-02-vm,Paloalto,pa-vm,10.143.50.12,7958000645945,Offline,us-east4,,GCP > us-east4,CLOUD|PERIMETER|POC
egcuse4palopoc-03-vm,Paloalto,pa-vm,10.143.50.26,7958000652054,Offline,us-east4,,GCP > us-east4,CLOUD|PERIMETER|POC
egcuse4sechub2-0nonprd-ftd-01-vm,Cisco,Firepower Threat Defense for GCP,10.243.1.180,9AW2M7KV602,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechub2-0nonprd-ftd-02-vm,Cisco,Firepower Threat Defense for GCP,10.243.1.181,9A5J6WXMPX1,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechub2-0nonprd-ftd-03-vm,Cisco,Firepower Threat Defense for GCP,10.243.1.179,9A6U3J0DV6F,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechub2-0nonprd-ftd-04-vm,Cisco,Firepower Threat Defense for GCP,10.243.1.178,9A1A0WN5BUM,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechubnonprodftd-05-vm,Cisco,FTD-GCP,10.236.246.12,9A863VSMW4V,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechubnonprodftd-06-vm,Cisco,FTD-GCP,10.236.246.13,9A0P2P41SKU,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechubnonprodftd-07-vm,Cisco,FTD-GCP,10.236.246.5,9A4FMKPJWKT,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechubnonprodftd-08-vm,Cisco,FTD-GCP,10.236.246.11,9A8PM3W9HL4,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechubprodftd-05-vm,Cisco,FTD-GCP,10.236.251.246,9A4QUMMUCW7,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechubprodftd-06-vm,Cisco,FTD-GCP,10.236.251.247,9APPSNE91VA,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechubprodftd-07-vm,Cisco,FTD-GCP,10.236.251.245,9AAR63AK65R,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechubprodftd-08-vm,Cisco,FTD-GCP,10.236.251.244,9AVVM28DFFH,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcuse4sechubprodftd-vpn-vm,Cisco,Firepower Threat Defense for GCP,10.236.251.248,9ACPFNQJ5HJ,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER|VPN
egcuse4ztnapoc,Cisco,Firepower Threat Defense for GCP,10.158.20.12,9A3AG8E9G48,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER|POC
egcusw2nonprd-ingress-2-0-vm-01,Paloalto,pa-vm,10.243.32.34,7958000710049,Offline,us-west2,,GCP > us-west2,CLOUD|PERIMETER
egcusw2nonprd-ingress-2-0-vm-03,Paloalto,pa-vm,10.243.32.36,7958000710058,Offline,us-west2,,GCP > us-west2,CLOUD|PERIMETER
egcusw2nonprd-ingress-2-0-vm-04,Paloalto,pa-vm,10.243.32.37,7958000710060,Offline,us-west2,,GCP > us-west2,CLOUD|PERIMETER
egcusw2nonprd2-0-vm-01,Paloalto,pa-vm,10.243.33.182,7958000709529,Offline,us-west2,,GCP > us-west2,CLOUD|PERIMETER
egcusw2nonprd2-0-vm-03,Paloalto,pa-vm,10.243.33.184,7958000709545,Offline,us-west2,,GCP > us-west2,CLOUD|PERIMETER
egcusw2nonprd2-0-vm-04,Paloalto,pa-vm,10.243.33.185,7958000709555,Offline,us-west2,,GCP > us-west2,CLOUD|PERIMETER
egcusw2sechubnonprodftd-05-vm,Cisco,FTD-GCP,10.236.246.49,9A143GG6JN2,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcusw2sechubnonprodftd-06-vm,Cisco,FTD-GCP,10.236.246.48,9A08D7XPN4W,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcusw2sechubnonprodftd-07-vm,Cisco,FTD-GCP,10.236.246.50,9APLFHW6EA3,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcusw2sechubnonprodftd-08-vm,Cisco,FTD-GCP,10.236.246.47,9A71W31NT6T,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcusw2sechubprodftd-05-vm,Cisco,FTD-GCP,10.236.251.207,9AQQC52K2HW,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcusw2sechubprodftd-06-vm,Cisco,FTD-GCP,10.236.251.206,9A9CTQNRC0G,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcusw2sechubprodftd-07-vm,Cisco,FTD-GCP,10.236.251.204,9A2EA91VXJW,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcusw2sechubprodftd-08-vm,Cisco,FTD-GCP,10.236.251.205,9A5LMEWHV2J,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER
egcusw2sechubprodftd-vpn-vm,Cisco,Firepower Threat Defense for GCP,10.236.251.208,9ACSUASAMB7,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,CLOUD|PERIMETER|VPN
emdeon/emdeon,Cisco,5585-SSP-60,10.218.232.52,JMX1748804X/emdeon,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,
EPCSVerizon/EPCSVerizon,Cisco,5585-SSP-60,10.218.232.18,JMX1748804X/EPCSVerizon,Offline,SCT,PSS,US > AZ > Scottsdale > 97749 - 97749B01,
epo-fw-hgs-1:1,Cisco,Firepower 2130 Threat Defense,10.108.152.12,JAD262204RX,Offline,HGS,Aetna,US > TX > El Paso > HGS,B2B
epo-fw-hgs-1:2,Cisco,FPR2130-NGFW-K9,10.108.152.12,JMX2622X1GN,Offline,EPO,PCW,US > IL > East Peoria > 06453 - 06453B02,B2B
epo-fw-hgs-2:1,Cisco,Firepower 2130 Threat Defense,10.108.152.13,JAD262204SE,Offline,HGS,Aetna,US > TX > El Paso > HGS,B2B
